Gads;Menesis;Diena;gh_id;value;name;lon;lat;elevation;x;y;to_sea;cont_tas;h1;h5;h10
2023;2;2;RIAI99PA;0.1;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;3;RIAI99PA;-1.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;4;RIAI99PA;-2.8;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;5;RIAI99PA;-3.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;6;RIAI99PA;0.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;7;RIAI99PA;-1.1;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;8;RIAI99PA;1.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;9;RIAI99PA;0.5;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;10;RIAI99PA;1.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;11;RIAI99PA;0.8;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;12;RIAI99PA;0.9;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;13;RIAI99PA;2.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
