date,RMSE,MAE,BIAS
2024-02-20,0.19595414378997572,0.1432581507139708,0.0108255329744519
2024-11-01,0.1983130108247385,0.1763927590010356,-0.0185997662977589
2024-01-25,0.208454517716083,0.1694848900784929,0.0083107927607501
2024-12-22,0.2108150867940967,0.176131961232286,0.0466906052723573
2024-12-23,0.2342088749744525,0.1556142233890055,-0.009929918164149
2024-12-29,0.2355370292689026,0.18653193422572,-0.0117265517748803
2024-03-17,0.2421742489854808,0.197595198873287,0.0186739838466853
2024-12-28,0.2473306629336366,0.1919518070323121,0.015264555536983603
2024-10-11,0.2505684030193602,0.1917700724819936,0.0059064838070814
2024-11-11,0.2550511119759724,0.20171890533576017,-0.0012960118875751999
