date,RMSE,MAE,BIAS
2024-11-01,0.18125574384063298,0.1534140418473037,0.0010983444212988
2024-02-20,0.1843129899545916,0.1365486150868238,0.0169470923992946
2024-01-25,0.2255603286574639,0.1855603430450988,0.0154248374890069
2024-10-02,0.24924114529624566,0.1816990281932017,-0.0156804612340444
2024-11-06,0.2585996515602964,0.208269212956708,0.0081439145372724
2024-12-29,0.2704787910825816,0.1886854242135909,0.0240720596072404
2024-09-13,0.2749520223901618,0.2309290838946593,0.006312853984043801
2024-04-03,0.2777624080513806,0.2025829820258071,0.043759560454462804
2024-11-16,0.2795956363941985,0.20201975769118077,-0.0289281968387122
2024-10-22,0.2812454102128243,0.2068644974831323,0.0134780933449101
