date,RMSE,MAE,BIAS
2024-01-04,6.394278272994154,4.125130405934558,-0.7140766643935789
2024-01-02,4.030061327964432,2.894243652627198,-0.0967264631930715
2024-01-03,2.7906581532427968,2.1861258476922174,-0.5601166608610969
2024-01-08,2.2999874934853684,1.948480066510177,-0.211344007265731
2024-01-06,2.1712561382860307,1.547749282650324,-0.0572496245346382
2024-01-07,1.9908868531847441,1.615748849626222,-0.3408906621604554
2024-12-09,1.9407410986923228,1.1264370519250129,0.4066258145242018
2024-04-01,1.9060235235262672,1.5832985346976454,0.1715461176476319
2024-03-31,1.775496480184951,1.40695920588764,0.0548472854041241
2024-01-01,1.7535079338014326,0.8403348799188325,0.4002538909068821
