date,RMSE,MAE,BIAS
2000-01-10,0.19717999940528352,0.1666067600936792,0.0006060696446551
2000-02-16,0.2004132302652619,0.1612256526331623,0.0140904574850314
2000-11-05,0.20069784569533047,0.1604731791210291,0.0133272496290173
2000-10-25,0.21331886217387092,0.1694397818215288,0.0079379761516753
2000-02-17,0.213947183390554,0.164942071525837,0.0053429507966533
2000-01-09,0.2160550639982777,0.16270234455401572,0.0089032578284476
2000-10-11,0.2171110553004308,0.1761787056121715,0.0059913981712462
2000-01-18,0.21875833883852733,0.1788597981304269,-0.020004566630092705
2000-02-13,0.224590155375384,0.1668845792922719,0.0343625876569896
2000-12-08,0.22750711095032428,0.1769825018615653,0.015798247685572
