date,RMSE,MAE,BIAS
2000-01-23,2.0474060822217863,1.6025285505383178,-0.0254216390806682
2000-01-22,2.033490776387489,1.4123626708590455,-0.1457648201945683
2000-12-28,1.9671885858328295,1.4188594378428447,0.0994197320301317
2000-12-27,1.8726609560211869,1.498697086346492,-0.0428105322091744
2000-04-19,1.8342987672965887,1.4556723526175284,0.0884607232372233
2000-05-17,1.8335111250531595,1.587767396901245,-0.0089542274087346
2000-01-25,1.822570338618761,1.4595048297401876,-0.2066284563233044
2000-04-23,1.7251676202277684,1.2994437113116288,0.0784113488334158
2000-02-25,1.710437062480526,0.8066910924605186,0.2944945253581404
2000-04-18,1.6730094308168824,1.2767128018488734,0.1431537940358487
