date;station;id;true;pred;error;abs_error;variance;MAE;RMSE;BIAS
2000-01-01;Ainazi;RIAI99PA;-4.8;-4.442315229739103;0.35768477026089673;0.35768477026089673;0.8705080907681371;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Aluksne;RIAL99MS;-8.3;-9.226992608701492;-0.9269926087014912;0.9269926087014912;0.646309204569913;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Bauska;RIBA99PA;-4.9;-5.5884987029520286;-0.6884987029520282;0.6884987029520282;0.616572271197648;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Dagda;RIDAGDA;-4.4;-6.618623842042764;-2.2186238420427635;2.2186238420427635;1.2272684280459647;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Daugavpils;RIDM99MS;-4.8;-4.2811374093108245;0.5188625906891753;0.5188625906891753;1.134218249964599;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Dobele;RIDO99MS;-4.7;-5.847016423388378;-1.1470164233883775;1.1470164233883775;0.3112334263720431;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Riga;RIGASLU;-2.6;-4.289421009877013;-1.6894210098770128;1.6894210098770128;0.35038655760287796;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Gulbene;RIGU99MS;-7.1;-6.319638953315022;0.7803610466849777;0.7803610466849777;0.2627359650729182;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Jelgava;RIJE99PA;-4.7;-4.008924592816766;0.6910754071832343;0.6910754071832343;0.09971700458954391;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Kolka;RIKO99PA;-1.5;-3.4358924473337886;-1.9358924473337886;1.9358924473337886;1.0914352998804002;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Liepaja;RILP99PA;-0.4;-1.0175587161647215;-0.6175587161647215;0.6175587161647215;0.28371872106486773;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Madona;RIMADONA;-4.8;-5.302518731769577;-0.5025187317695776;0.5025187317695776;0.061200233074936605;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Mersrags;RIME99MS;-3.5;-2.764330994888325;0.7356690051116752;0.7356690051116752;0.41920075690210234;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Pavilosta;RIPA99PA;-1.0;-0.8496796475269782;0.15032035247302178;0.15032035247302178;0.4643732263013054;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Priekuli;RIPR99PA;-5.4;-5.333847375265098;0.06615262473490269;0.06615262473490269;0.1941018973537778;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Rezekne;RIREZEKN;-6.1;-4.7806152213935595;1.31938477860644;1.31938477860644;0.6990447245237901;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Rujiena;RIRU99PA;-7.3;-5.992106460587856;1.3078935394121443;1.3078935394121443;1.1299377225993346;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Saldus;RISA99PA;-4.9;-4.819408617800577;0.0805913821994233;0.0805913821994233;0.5360351108120276;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Skulte;RISE99MS;-3.5;-2.890833966346794;0.6091660336532061;0.6091660336532061;0.3153861631683479;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Skriveri;RISI99PA;-4.6;-3.960487355224911;0.6395126447750887;0.6395126447750887;0.5421009978192974;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Stende;RIST99PA;-3.3;-3.5276575998384234;-0.2276575998384236;0.2276575998384236;0.21308043039189073;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Ventspils;RIVE99PA;-0.6;-1.150071408231436;-0.5500714082314361;0.5500714082314361;0.6924185482859775;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Zilani;RIZI99PA;-4.8;-4.330941743640098;0.4690582563599017;0.4690582563599017;0.340451351955243;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Zoseni;RIZO99MS;-5.7;-5.4383587502173025;0.26164124978269765;0.26164124978269765;0.42612394385209473;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-01;Rucava;RUCAVA;-1.6;-0.6226083550160972;0.9773916449839029;0.9773916449839029;0.6302267502691818;0.7787606726884124;0.9527851108613511;-0.0615794465355573
2000-01-02;Ainazi;RIAI99PA;-2.2;-3.6108043436499835;-1.4108043436499833;1.4108043436499833;0.005628945285716114;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Aluksne;RIAL99MS;-7.5;-7.909788217387366;-0.4097882173873657;0.4097882173873657;0.001025733298277487;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Bauska;RIBA99PA;-2.2;-2.286935164652951;-0.08693516465295081;0.08693516465295081;0.007009577889101948;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Dagda;RIDAGDA;-5.1;-4.242614058594523;0.857385941405477;0.857385941405477;0.033733908689446146;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Daugavpils;RIDM99MS;-5.7;-4.805567967463663;0.8944320325363373;0.8944320325363373;0.09507343863454487;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Dobele;RIDO99MS;-1.3;-1.1030125604473016;0.19698743955269848;0.19698743955269848;0.0014805704244240658;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Riga;RIGASLU;-2.0;-2.4886429874352776;-0.48864298743527756;0.48864298743527756;0.0044786860817991325;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Gulbene;RIGU99MS;-5.5;-5.774692208529194;-0.27469220852919385;0.27469220852919385;0.003226068416395833;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Jelgava;RIJE99PA;-1.7;-1.9907209958058596;-0.29072099580585964;0.29072099580585964;0.0019602634100621685;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Kolka;RIKO99PA;0.5;1.7130911635978867;1.2130911635978867;1.2130911635978867;0.005523111159495997;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Liepaja;RILP99PA;1.9;1.4738826502197224;-0.4261173497802775;0.4261173497802775;0.020442276926429415;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Madona;RIMADONA;-5.3;-5.045138050385963;0.2548619496140372;0.2548619496140372;0.0009269470306350058;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Mersrags;RIME99MS;-0.8;-1.0474736813061476;-0.24747368130614755;0.24747368130614755;0.005824957271177489;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Pavilosta;RIPA99PA;1.4;1.53895101129585;0.13895101129585008;0.13895101129585008;0.0036282753501675202;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Priekuli;RIPR99PA;-3.5;-4.031938341475947;-0.5319383414759473;0.5319383414759473;0.02227999790045665;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Rezekne;RIREZEKN;-5.1;-6.202983382142179;-1.1029833821421793;1.1029833821421793;0.014200608923121472;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Rujiena;RIRU99PA;-3.9;-2.726198291460717;1.173801708539283;1.173801708539283;0.025322338805906064;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Saldus;RISA99PA;-1.1;-1.5334620314431424;-0.4334620314431423;0.4334620314431423;0.0005523003986160901;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Skulte;RISE99MS;-2.6;-2.2875209913406493;0.31247900865935074;0.31247900865935074;0.0015004711210186983;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Skriveri;RISI99PA;-4.0;-3.8087289248296217;0.19127107517037834;0.19127107517037834;0.0042204885817112014;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Stende;RIST99PA;-0.6;-0.1867448709801217;0.41325512901987826;0.41325512901987826;0.00019368917338447034;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Ventspils;RIVE99PA;1.4;0.4029880524959028;-0.997011947504097;0.997011947504097;0.0007369703105997161;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Zilani;RIZI99PA;-5.2;-5.484018113975333;-0.28401811397533283;0.28401811397533283;0.002321487629924235;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Zoseni;RIZO99MS;-4.4;-3.681795987439388;0.7182040125606122;0.7182040125606122;0.001143856678183397;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-02;Rucava;RUCAVA;1.0;1.8658987182073736;0.8658987182073736;0.8658987182073736;0.07087316965715473;0.5686083182098767;0.6825753882675701;0.009841217002856322
2000-01-03;Ainazi;RIAI99PA;1.3;1.0371083224526088;-0.2628916775473913;0.2628916775473913;0.1265541444555769;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Aluksne;RIAL99MS;-2.5;-1.9135462708180824;0.5864537291819176;0.5864537291819176;0.23662932320356544;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Bauska;RIBA99PA;1.3;1.2336207755258084;-0.06637922447419164;0.06637922447419164;0.17008627876300242;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Dagda;RIDAGDA;-2.1;-1.5663191149497278;0.5336808850502723;0.5336808850502723;0.19380084963826505;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Daugavpils;RIDM99MS;-0.7;-1.2949444662292353;-0.5949444662292354;0.5949444662292354;0.23451946280238234;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Dobele;RIDO99MS;1.8;1.4719287607174043;-0.32807123928259574;0.32807123928259574;0.05466771407755511;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Riga;RIGASLU;1.2;0.8864415525516345;-0.3135584474483655;0.3135584474483655;0.22174994324306319;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Gulbene;RIGU99MS;-1.5;-2.3546015522366646;-0.8546015522366646;0.8546015522366646;0.11453408407071564;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Jelgava;RIJE99PA;1.3;1.694417379033793;0.39441737903379304;0.39441737903379304;0.06260274560950307;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Kolka;RIKO99PA;2.8;2.176877343430392;-0.623122656569608;0.623122656569608;0.16890056402347176;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Liepaja;RILP99PA;3.4;3.1964259192565;-0.20357408074350003;0.20357408074350003;0.11618451624083548;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Madona;RIMADONA;-1.8;-0.839513901922498;0.9604860980775021;0.9604860980775021;0.05718109689842832;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Mersrags;RIME99MS;1.7;2.0427593669751674;0.3427593669751674;0.3427593669751674;0.11289197527158068;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Pavilosta;RIPA99PA;3.4;3.281635937469348;-0.1183640625306519;0.1183640625306519;0.1476362556212809;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Priekuli;RIPR99PA;0.0;-0.3821041018819457;-0.3821041018819457;0.3821041018819457;0.08403673296737724;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Rezekne;RIREZEKN;-1.7;-2.1516917042378703;-0.4516917042378703;0.4516917042378703;0.13928326060702778;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Rujiena;RIRU99PA;-0.5;-0.03629154030169163;0.4637084596983084;0.4637084596983084;0.21479173869836643;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Saldus;RISA99PA;1.7;1.3239974559547474;-0.3760025440452526;0.3760025440452526;0.14773463285736677;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Skulte;RISE99MS;1.1;1.1662175377878636;0.06621753778786355;0.06621753778786355;0.09151654831662581;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Skriveri;RISI99PA;0.2;0.28797112848311107;0.08797112848311106;0.08797112848311106;0.08396564925685279;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Stende;RIST99PA;1.5;1.89813756693695;0.39813756693695;0.39813756693695;0.1002675882934918;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Ventspils;RIVE99PA;3.1;3.154776031599018;0.054776031599018005;0.054776031599018005;0.14987859429103612;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Zilani;RIZI99PA;-0.3;-0.6074762640583823;-0.3074762640583823;0.3074762640583823;0.07600137400911233;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Zoseni;RIZO99MS;-0.8;-1.1200710890224557;-0.3200710890224556;0.3200710890224556;0.1797555728270055;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-03;Rucava;RUCAVA;3.0;3.483177092926683;0.4831770929266832;0.4831770929266832;0.12330523193350018;0.38298553544234787;0.44462784585786247;-0.03324271338230094
2000-01-04;Ainazi;RIAI99PA;3.0;2.943631007782633;-0.05636899221736691;0.05636899221736691;0.03281380324925376;0.21131039229246318;0.2723990971397842;-0.0342913656491344
