date;station;id;true;pred;error;abs_error;variance;MAE;RMSE;BIAS
2023-01-01;Ainazi;RIAI99PA;3.9;4.193737362676946;0.29373736267694595;0.29373736267694595;0.2378889364504566;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Aluksne;RIAL99MS;3.0;3.59508262785541;0.59508262785541;0.59508262785541;0.24813783921968025;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Bauska;RIBA99PA;7.7;7.158785798191373;-0.5412142018086268;0.5412142018086268;0.15315638735773973;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Dagda;RIDAGDA;6.6;7.890145822089686;1.290145822089686;1.290145822089686;0.36106626618824755;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Daugavpils;RIDM99MS;8.9;7.583592687764964;-1.316407312235036;1.316407312235036;0.23337222356485654;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Dobele;RIDO99MS;6.3;6.472131915870983;0.17213191587098287;0.17213191587098287;0.07974216737966344;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Riga;RIGASLU;5.5;5.589490099623401;0.08949009962340071;0.08949009962340071;0.12975843117317254;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Gulbene;RIGU99MS;3.7;4.91626264571782;1.21626264571782;1.21626264571782;0.1612393009054358;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Jelgava;RIJE99PA;6.6;6.659780090156511;0.059780090156511534;0.059780090156511534;0.14882840038944778;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Kolka;RIKO99PA;4.4;4.0126455846002855;-0.3873544153997148;0.3873544153997148;0.24069301253470599;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Liepaja;RILP99PA;6.2;6.7135725192595785;0.5135725192595784;0.5135725192595784;0.10364697708610038;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Madona;RIMADONA;4.6;5.132311733143922;0.5323117331439224;0.5323117331439224;0.12861886417704227;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Mersrags;RIME99MS;4.9;4.903739842692273;0.003739842692272788;0.003739842692272788;0.15056750716576062;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Pavilosta;RIPA99PA;5.0;5.6925052196825465;0.6925052196825465;0.6925052196825465;0.13748155145322016;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Priekuli;RIPR99PA;4.5;4.093184354787379;-0.40681564521262104;0.40681564521262104;0.162241407867441;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Rezekne;RIREZEKN;6.1;6.063778417755092;-0.03622158224490768;0.03622158224490768;0.12702794909910153;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Rujiena;RIRU99PA;4.1;3.1355365955611685;-0.9644634044388312;0.9644634044388312;0.19632370101044216;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Saldus;RISA99PA;5.5;6.194062515943554;0.6940625159435543;0.6940625159435543;0.2850669514447901;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Skulte;RISE99MS;4.4;5.105482501950756;0.7054825019507556;0.7054825019507556;0.14597632509412506;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Skriveri;RISI99PA;6.5;6.1634213221808345;-0.3365786778191655;0.3365786778191655;0.15420746677045827;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Stende;RIST99PA;4.8;4.439679107794491;-0.3603208922055092;0.3603208922055092;0.24499664930559284;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Ventspils;RIVE99PA;4.1;4.388569026258428;0.2885690262584282;0.2885690262584282;0.31546082598692937;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Zilani;RIZI99PA;6.3;6.519710083219205;0.21971008321920493;0.21971008321920493;0.09075807966200955;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Zoseni;RIZO99MS;4.0;3.542167345523543;-0.4578326544764568;0.4578326544764568;0.29776662632327167;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-01;Rucava;RUCAVA;8.0;6.727333498357335;-1.2726665016426653;1.2726665016426653;0.32506329268283807;0.5378583717449821;0.6665836092942256;0.051468348746299436
2023-01-02;Ainazi;RIAI99PA;0.0;0.33186772258362596;0.33186772258362596;0.33186772258362596;0.035200956797780236;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Aluksne;RIAL99MS;-1.4;-1.8379729616953495;-0.4379729616953496;0.4379729616953496;0.13151113820707394;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Bauska;RIBA99PA;4.6;4.304314593771559;-0.29568540622844086;0.29568540622844086;0.07973860467791383;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Dagda;RIDAGDA;1.3;1.6306834930631546;0.3306834930631546;0.3306834930631546;0.024482285588419472;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Daugavpils;RIDM99MS;3.7;2.923165538944522;-0.7768344610554783;0.7768344610554783;3.049099101939646;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Dobele;RIDO99MS;4.1;4.410955945879607;0.3109559458796074;0.3109559458796074;0.019464721999611356;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Riga;RIGASLU;3.5;2.8218198065044695;-0.6781801934955305;0.6781801934955305;0.02097942851651169;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Gulbene;RIGU99MS;-0.6;-0.10534511723777784;0.49465488276222214;0.49465488276222214;0.03297505095906672;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Jelgava;RIJE99PA;4.4;4.225866780604185;-0.1741332193958156;0.1741332193958156;0.08725709398897408;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Kolka;RIKO99PA;1.8;2.012280010154439;0.2122800101544391;0.2122800101544391;0.03711169597954722;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Liepaja;RILP99PA;5.7;6.044959399390663;0.344959399390663;0.344959399390663;0.0;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Madona;RIMADONA;0.3;0.8083812730751436;0.5083812730751436;0.5083812730751436;0.018696709150390234;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Mersrags;RIME99MS;2.4;3.0263013130483225;0.6263013130483226;0.6263013130483226;0.5491321049139515;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Pavilosta;RIPA99PA;5.1;4.908086088976823;-0.19191391102317645;0.19191391102317645;0.044364282286551315;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Priekuli;RIPR99PA;0.4;0.37421623035128504;-0.025783769648714983;0.025783769648714983;0.07891102952453366;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Rezekne;RIREZEKN;0.8;0.02794188636228484;-0.7720581136377151;0.7720581136377151;0.0;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Rujiena;RIRU99PA;-0.8;-0.8593691735805713;-0.059369173580571255;0.059369173580571255;0.10182671433256729;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Saldus;RISA99PA;4.4;4.540785513370044;0.14078551337004352;0.14078551337004352;0.09444008723362884;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Skulte;RISE99MS;1.9;1.7468049857505192;-0.15319501424948068;0.15319501424948068;0.07506183281111589;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Skriveri;RISI99PA;2.6;2.597223879128535;-0.002776120871465171;0.002776120871465171;0.5467869914846233;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Stende;RIST99PA;3.6;2.98346059331241;-0.6165394066875902;0.6165394066875902;0.07106495568609716;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Ventspils;RIVE99PA;3.5;3.494482178554885;-0.005517821445114812;0.005517821445114812;0.06528468268834331;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Zilani;RIZI99PA;2.0;2.0775346476513348;0.07753464765133478;0.07753464765133478;0.0024362044232475455;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Zoseni;RIZO99MS;-0.2;-0.3295036181312815;-0.12950361813128147;0.12950361813128147;0.14188622793328776;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-02;Rucava;RUCAVA;6.7;6.836068870040482;0.13606887004048218;0.13606887004048218;0.04259038266536663;0.3133574504865906;0.3924508711275241;-0.03219960480506745
2023-01-03;Ainazi;RIAI99PA;2.6;2.4648945023502353;-0.13510549764976476;0.13510549764976476;0.27697438636885585;0.24939781610710413;0.3683373037912772;0.006443860389625868
2023-01-03;Aluksne;RIAL99MS;0.9;1.612180888348576;0.712180888348576;0.712180888348576;0.26111319908875674;0.24939781610710413;0.3683373037912772;0.006443860389625868
