date;station;true;pred;error;abs_error
2024-03-29;Ainazi;6.4;6.852981968401432;0.45298196840143135;0.45298196840143135
2024-03-29;Aluksne;6.4;6.79951255296921;0.3995125529692096;0.3995125529692096
2024-03-29;Bauska;7.7;7.976456932921996;0.27645693292199613;0.27645693292199613
2024-03-29;Dagda;7.5;7.729772205204035;0.22977220520403474;0.22977220520403474
2024-03-29;Daugavpils;8.3;7.875921709481948;-0.4240782905180529;0.4240782905180529
2024-03-29;Dobele;7.7;7.677885801106118;-0.022114198893881998;0.022114198893881998
2024-03-29;Riga;8.7;7.502806525858166;-1.1971934741418329;1.1971934741418329
2024-03-29;Gulbene;7.0;6.749912338655417;-0.25008766134458327;0.25008766134458327
2024-03-29;Jelgava;7.8;7.909899530060072;0.1098995300600718;0.1098995300600718
2024-03-29;Kolka;6.4;5.754627520919905;-0.6453724790800957;0.6453724790800957
2024-03-29;Liepaja;5.9;6.508366314800865;0.6083663148008647;0.6083663148008647
2024-03-29;Madona;6.7;7.1599879173480625;0.4599879173480623;0.4599879173480623
2024-03-29;Mersrags;7.3;6.920230978062703;-0.3797690219372969;0.3797690219372969
2024-03-29;Pavilosta;6.0;5.3543300667164315;-0.6456699332835685;0.6456699332835685
2024-03-29;Priekuli;7.2;6.726667677960572;-0.4733323220394281;0.4733323220394281
2024-03-29;Rezekne;7.4;7.334694430770448;-0.06530556922955277;0.06530556922955277
2024-03-29;Rujiena;6.9;6.710345941749727;-0.18965405825027304;0.18965405825027304
2024-03-29;Saldus;6.8;6.8840671176272;0.08406711762720054;0.08406711762720054
2024-03-29;Skulte;6.7;7.792934680447452;1.0929346804474518;1.0929346804474518
2024-03-29;Skriveri;7.6;7.657154343065177;0.05715434306517775;0.05715434306517775
2024-03-29;Stende;6.9;6.7803677039847745;-0.11963229601522585;0.11963229601522585
2024-03-29;Ventspils;5.6;6.221344646300016;0.6213446463000167;0.6213446463000167
2024-03-29;Zilani;7.6;7.350928936052974;-0.24907106394702527;0.24907106394702527
2024-03-29;Zoseni;6.5;6.6136500696511655;0.11365006965116553;0.11365006965116553
2024-03-29;Rucava;6.6;6.067667458457594;-0.5323325415424058;0.5323325415424058
2024-03-30;Ainazi;5.6;5.604093196239599;0.004093196239598917;0.004093196239598917
2024-03-30;Aluksne;7.5;8.139228286944114;0.6392282869441139;0.6392282869441139
2024-03-30;Bauska;10.1;9.892033459191762;-0.20796654080823807;0.20796654080823807
2024-03-30;Dagda;8.7;9.51154221364529;0.811542213645291;0.811542213645291
2024-03-30;Daugavpils;9.6;9.720623267585406;0.12062326758540642;0.12062326758540642
2024-03-30;Dobele;9.0;9.607818163157045;0.6078181631570452;0.6078181631570452
2024-03-30;Riga;8.7;8.92054864214401;0.22054864214400993;0.22054864214400993
2024-03-30;Gulbene;8.6;7.312291275312857;-1.2877087246871426;1.2877087246871426
2024-03-30;Jelgava;9.5;8.62683293327145;-0.8731670667285503;0.8731670667285503
2024-03-30;Kolka;4.3;4.459698957373603;0.15969895737360318;0.15969895737360318
2024-03-30;Liepaja;7.1;7.347914273569202;0.2479142735692026;0.2479142735692026
2024-03-30;Madona;7.8;9.194516621431774;1.394516621431774;1.394516621431774
2024-03-30;Mersrags;6.3;6.326845949025591;0.02684594902559123;0.02684594902559123
2024-03-30;Pavilosta;5.0;5.792543364275637;0.7925433642756374;0.7925433642756374
